SeriesID,Date,IsPreferred,IsValidSample,BMIBI,BMIBIClass,BCG_final,SampleQuality,SampleGear,BMIBIType,SumIndivsQual,SumIndivsQuant,BugTags,State,SiteID,Site_ID,StreamName,ProgID,Landmark,Type,Tags,SegID,ADBCode,EcoRegionDesig,County,MajorBasin,DrainageArea,ThermalClass,HUC12,UTMNorth,UTMEast,Lat,Long,IsRiffle,IsPublicLand,CurrentStatus
98,8/25/2008,TRUE,TRUE,91,Excellent,2,Good/Good/Good,Hess,Warm Water,228,101/111/103,,IA,29,IA-29,Deer Creek,,Carpenter - 1 mile NW,Wadeable,,591,02-CED-591,47c,Mitchell,Mississippi,90.416,Warm Water,huc070802010403,4807924,498185,43.4242,-93.02242,Yes,FALSE,Reference Site
122,9/20/1995,TRUE,TRUE,90,Excellent,2,Unspecified/Unspecified/Unspecified,Hess,Warm Water,227,120/87/107,,IA,39,IA-39,Volga River,,Maynard - Twin Bridges County Park,Wadeable,,296,01-VOL-296,47c,Fayette,Mississippi,53.844,Warm Water,huc070600040504,4741342,591161,42.81921,-91.88484,Yes,FALSE,Reference Site
498,8/15/2001,TRUE,TRUE,88,Excellent,2,Good/Good/Good,Hess,Warm Water,209,121/122/97,,IA,255,IA-255,Waterman Creek,,Sutherland,Wadeable,,1620,06-LSR-1620,47a,Obrien,Missouri,125.074,Warm Water,huc102300031004,4760187,302298,42.96866,-95.42425,N/A,FALSE,Reference Site
2005,8/8/2016,TRUE,TRUE,88,Excellent,2,Good/Good/Good,Surb,Warm Water,299,104/102/102,,IA,726,IA-726,Unnamed Tributary to Mississippi River,HW69,Lansing WMA,Headwater,Headwater Reference Study,6333,01-NEM-6333,52b,Allamakee,Mississippi,2.963,Warm Water,huc070600010702,4807223,640150,43.40479,-91.26915,N/A,TRUE,Candidate Reference Site
771,8/24/2005,TRUE,TRUE,87,Excellent,2,Good/Good/Good,Hess,Warm Water,314,111/112/105,,IA,483,IA-483,Upper Iowa River,REMAP #124,Dorchester,Non-wadeable,REMAP,237,01-UIA-237,52b,Allamakee,Mississippi,896.948,Warm Water,huc070600020605,4809297,624641,43.4262,-91.46014,N/A,FALSE,Survey Site
1366,8/23/2012,TRUE,TRUE,87,Excellent,2,Good/Good/Good,Hess,Warm Water,282,119/107/117,,IA,61,IA-61,Buffalo Creek,,Central City,Wadeable,,374,01-WPS-374,47c,Linn,Mississippi,184.811,Warm Water,huc070801020906,4673781,628285,42.20567,-91.44599,Yes,FALSE,Reference Site
1214,8/22/2011,TRUE,TRUE,86,Excellent,2,Good,Float ArtSub,Warm Water,270,113,,IA,78,IA-78,North Skunk River,,Rose Hill,Wadeable,,858,03-NSK-858,47f,Mahaska,Mississippi,533.652,Warm Water,huc070801060404,4580217,545741,41.37216,-92.45303,N/A,FALSE,Reference Site
1068,8/19/2010,TRUE,TRUE,86,Excellent,2,Good/Good/Good,Hess,Warm Water,314,110/98/107,,IA,270,IA-270,West Otter Creek,,Toddville,Wadeable,,516,02-CED-516,47c,Linn,Mississippi,26.469,Warm Water,huc070802051301,4665408,605837,42.13364,-91.71937,Yes,FALSE,Candidate Reference Site
716,8/18/2004,TRUE,TRUE,86,Excellent,2,Good/Good/Good,Hess,Warm Water,151,102/104/111,,IA,412,IA-412,Wapsipinicon River,REMAP #102,New Hampton,Wadeable,REMAP,350,01-WPS-350,47c,Chickasaw,Mississippi,163.837,Warm Water,huc070801020204,4760257,550560,42.99329,-92.37976,No,FALSE,Survey Site
2038,8/15/2016,TRUE,TRUE,86,Excellent,2,Fair/Fair/Fair,Hess,Warm Water,261,40/49/95,,IA,285,IA-285,Cedar River,,Carrville/Charles City,Non-wadeable,Ambient Monthly WQ/2011 Nutrient (WW),477,02-CED-477,47c,Floyd,Mississippi,1094.64,Warm Water,huc070802011005,4761540,532395,43.00584,-92.60251,Undetermined,FALSE,Survey Site
2127,8/15/2017,TRUE,TRUE,86,Excellent,2,Good/Good/Good,Hess,Warm Water,268,101/109/100,,IA,270,IA-270,West Otter Creek,,Toddville,Wadeable,,516,02-CED-516,47c,Linn,Mississippi,26.469,Warm Water,huc070802051301,4665408,605837,42.13364,-91.71937,Yes,FALSE,Candidate Reference Site
1078,8/26/2010,TRUE,TRUE,85,Excellent,2,Good/Good/Good,Hess,Warm Water,308,92/118/107,,IA,718,IA-718,Unnamed Tributary to Village Creek,,Lansing,Headwater,Headwater Reference Study,6324,01-UIA-6324,52b,Allamakee,Mississippi,3.161,Warm Water,huc070600010602,4796375,641155,43.30697,-91.25954,N/A,FALSE,Candidate Reference Site
1207,8/9/2011,TRUE,TRUE,85,Excellent,2,Good/Good/Good,Hess,Warm Water,317,111/90/107,,IA,104,IA-104,Pine Creek,,Quasqueton,Wadeable,,386,01-WPS-386,47c,Buchanan,Mississippi,31.975,Warm Water,huc070801020802,4700635,598421,42.4518,-91.80309,Yes,FALSE,Reference Site
1760,9/23/2014,TRUE,TRUE,85,Excellent,2,Good/Good/Good,Surb,Warm Water,295,97/85/104,,IA,768,IA-768,Martha Creek,,Cresco,Headwater,Headwater Reference Study,6417,01-UIA-6417,47c,Winneshiek,Mississippi,3.938,Warm Water,huc070600020206,4804235,581573,43.38655,-91.99287,Yes,FALSE,Candidate Reference Site
1798,9/25/2014,TRUE,TRUE,85,Excellent,2,Good/Good/Good,Surb,Warm Water,159,8/13/101,,IA,775,IA-775,Unnamed Tributary to Volga Lake Outlet,HW#3,Fayette,Headwater,Headwater Reference Study,6430,01-VOL-6430,52b,Fayette,Mississippi,0.79,Warm Water,huc070600040505,4749737,600846,42.89357,-91.76488,N/A,FALSE,Candidate Reference Site
1359,9/17/2012,TRUE,TRUE,84,Excellent,2,Good/Good/Good,Surb,Warm Water,297,94/106/112,,IA,163,IA-163,Deep Creek,,Wadena,Headwater,Headwater Reference Study,1876,01-VOL-1876,52b,Fayette,Mississippi,2.607,Warm Water,huc070600040604,4740400,609950,42.80826,-91.65524,N/A,FALSE,Reference Site
1216,8/18/2011,TRUE,TRUE,84,Excellent,2,Good/Good/Good,Surb,Warm Water,194,104/103/100,,IA,726,IA-726,Unnamed Tributary to Mississippi River,HW69,Lansing WMA,Headwater,Headwater Reference Study,6333,01-NEM-6333,52b,Allamakee,Mississippi,2.963,Warm Water,huc070600010702,4807223,640150,43.40479,-91.26915,N/A,TRUE,Candidate Reference Site
261,9/22/1997,TRUE,TRUE,84,Excellent,2,Unspecified/Unspecified/Unspecified,ArtSub,Warm Water,154,106/82/100,,IA,114,IA-114,Bear Creek,,Skunk River Greenbelt - Ames,Wadeable,,958,03-SSK-958,47b,Story,Mississippi,28.156,Warm Water,huc070801050403,4662542,453616,42.1136,-93.56107,No,TRUE,Reference Site
