State,Original-ID,Site_ID,Date,Lat,Long,UTMN,UTME,Sampling_method,Invert_IBI,Invert_IBI_narrative,BCG_available,Invert_BCG_proxy,Invert_BCG,Taxa_BCG_final,BCG_final
IL,PQJ-01,IL-PQJ-01,8/16/2001,42.3128,-88.55311,,,,,,YES,,4,Invert,4
IL,DS-20,IL-DS-20,7/7/2009,41.12175,-88.8421,,,,,,YES,,2,Invert,2
IL,PL-18,IL-PL-18,7/31/2008,41.93724,-89.15646,,,,,,YES,,4,Invert,4
IL,DTA-08,IL-DTA-08,7/18/2002,41.53559,-88.85206,,,,,,YES,,3,Invert,3
IL,BPG-12,IL-BPG-12,7/31/2006,40.444726,-87.662781,,,,,,YES,,3,Invert,3
IL,DKN-02,IL-DKN-02,7/9/2010,40.576436,-88.977358,,,,,,YES,,5,Invert,5
IL,DK-16,IL-DK-16,7/20/2010,40.62477,-89.23963,,,,,,YES,,3,Invert,3
IL,GG-22,IL-GG-22,9/4/2008,41.5076556,-88.0838861,,,,,,YES,,4,Invert,4
IL,GLA-02,IL-GLA-02,10/1/2008,41.88185,-87.86896,,,,,,YES,,5,Invert,5
IL,FLDA-01,IL-FLDA-01,7/16/2010,40.99726,-87.7225,,,,,,YES,,4,Invert,4
IL,EID-16,IL-EID-16,8/18/2003,40.42917,-89.08132,,,,,,YES,,5,Invert,5
IL,DTCA-01,IL-DTCA-01,8/22/2002,41.63568,-88.54116,,,,,,YES,,3,Invert,3
IL,DVE-02,IL-DVE-02,7/28/2009,41.18258,-88.43491,,,,,,YES,,4,Invert,4
IL,DVE-02,IL-DVE-02,7/27/2004,41.18258,-88.43491,,,,,,YES,,4,Invert,4
IL,DKK-01,IL-DKK-01,7/15/2010,40.67084,-89.18041,,,,,,YES,,4,Invert,4
IL,PN-03,IL-PN-03,8/14/2003,42.14407,-89.46685,,,,,,YES,,4,Invert,4
IL,PJ-01,IL-PJ-01,7/29/2008,41.99092,-89.47131,,,,,,YES,,4,Invert,4
IL,HCCD-09,IL-HCCD-09,8/18/2011,42.10135,-87.75899,,,,,,YES,,5,Invert,5
IL,BPJCA-UC-D1,IL-BPJCA-UC-D1,9/17/2001,40.1170055,-88.201375,,,,,,YES,,6,Invert,6
IL,PSB-01,IL-PSB-01,8/6/2003,42.30899,-89.15223,,,,,,YES,,4,Invert,4
IL,DK-12,IL-DK-12,7/21/2005,40.44746,-89.69103,,,,,,YES,,5,Invert,5
IL,ES-06,IL-ES-06,7/17/2003,39.9485305,-88.9765027,,,,,,YES,,4,Invert,4
IL,EIEI-03,IL-EIEI-03,8/16/2005,40.36472222,-88.96388889,,,,,,YES,,4,Invert,4
IL,BPJC-10,IL-BPJC-10,8/9/2011,40.12748889,-88.08,,,,,,YES,,4,Invert,4
IL,DSJ-01,IL-DSJ-01,7/6/2004,40.91598,-88.75051,,,,,,YES,,3,Invert,3
IL,BN-04,IL-BN-04,7/18/2001,39.7055556,-87.5947222,,,,,,YES,,3,Invert,3
IL,BPK-13,IL-BPK-13,8/17/2011,40.38508,-87.96425,,,,,,YES,,2,Invert,2
IL,DL-06,IL-DL-06,8/3/2011,40.71458,-89.65764,,,,,,YES,,3,Invert,3
IL,PWF-01,IL-PWF-01,9/27/2007,42.3399,-89.2897,,,,,,YES,,3,Invert,3
IL,F-02,IL-F-02,7/27/2005,41.16016,-87.6626,,,,,,YES,,4,Invert,4
