State,Original-ID,Site_ID,Date,Lat,Long,UTMN,UTME,Sampling_method,Invert_IBI,Invert_IBI_narrative,BCG_available,Invert_BCG_proxy,Invert_BCG,Taxa_BCG_final,BCG_final
IN,WLV070-0013,IN-WLV070-0013,8/11/2009,40.25499188,-87.19854968,,,,,,Yes,,2,Invert,2
IN,WTI060-0037,IN-WTI060-0037,7/16/2008,41.07821879,-86.58397385,,,,,,Yes,,2,Invert,2
IN,GMW050-0016,IN-GMW050-0016,7/24/2007,39.3620502,-85.25589562,,,,,,Yes,,3,Invert,3
IN,WLV050-0005,IN-WLV050-0005,10/12/2004,40.44,-87.35833333,,,,,,Yes,,3,Invert,3
IN,GMW070-0104,IN-GMW070-0104,7/17/2007,39.5549713,-84.93860102,,,,,,Yes,,3,Invert,3
IN,UMK060-0018,IN-UMK060-0018,9/29/2004,41.30277778,-86.62083333,,,,,,Yes,,3,Invert,3
IN,WDE050-0011,IN-WDE050-0011,10/5/2004,40.57444444,-86.68305556,,,,,,Yes,,3,Invert,3
IN,WTI150-0017,IN-WTI150-0017,7/21/2008,40.62302474,-86.81897959,,,,,,Yes,,3,Invert,3
IN,GMW040-0040,IN-GMW040-0040,7/17/2007,39.61980666,-85.17167149,,,,,,Yes,,3,Invert,3
IN,WED090-0008,IN-WED090-0008,11/15/2004,39.38111111,-86.00583333,,,,,,Yes,,3,Invert,3
IN,GMW010-0044,IN-GMW010-0044,7/17/2007,39.90753146,-85.08519807,,,,,,Yes,,3,Invert,3
IN,LMJ190-0025,IN-LMJ190-0025,7/25/2005,41.467939,-85.59985,,,,,,Yes,,3,Invert,3
IN,WWL-03-0027,IN-WWL-03-0027,8/9/2011,39.0200932,-86.90773242,,,,,,Yes,,4,Invert,4
IN,WWL040-0056,IN-WWL040-0056,7/24/2006,38.99590748,-86.89106422,,,,,,Yes,,4,Invert,4
IN,UMI030-0046,IN-UMI030-0046,8/4/2009,40.89423325,-87.1681159,,,,,,Yes,,4,Invert,4
IN,WLV190-0020,IN-WLV190-0020,8/10/2009,39.73054001,-87.28470214,,,,,,Yes,,4,Invert,4
IN,WLV040-0053,IN-WLV040-0053,7/20/2009,40.43997793,-87.31670895,,,,,,Yes,,4,Invert,4
IN,LEJ050-0066,IN-LEJ050-0066,7/19/2010,41.53546439,-84.8615209,,,,,,Yes,,4,Invert,4
IN,LES060-0022,IN-LES060-0022,7/13/2010,40.98860099,-85.09689868,,,,,,Yes,,4,Invert,4
IN,OHP030-0027,IN-OHP030-0027,7/26/2010,38.09653591,-87.39934407,,,,,,Yes,,4,Invert,4
IN,UMI010-0008,IN-UMI010-0008,8/4/2009,41.02924774,-87.1163291,,,,,,Yes,,4,Invert,4
IN,LMG-04-0036,IN-LMG-04-0036,8/7/2012,41.61722,-86.941943,,,,,,Yes,,4,Invert,4
IN,LMG100-0009,IN-LMG100-0009,7/14/2010,41.75290221,-86.56042729,,,,,,Yes,,4,Invert,4
IN,LMJ120-0040,IN-LMJ120-0040,9/12/2005,41.693578,-85.307288,,,,,,Yes,,4,Invert,4
IN,UMI030-0044,IN-UMI030-0044,7/28/2009,40.82431705,-87.17677482,,,,,,Yes,,4,Invert,4
IN,WED-04-0001,IN-WED-04-0001,7/16/2013,39.93160872,-85.69904306,,,,,,Yes,,4,Invert,4
IN,WWU070-0002,IN-WWU070-0002,10/14/2004,40.02888889,-85.995,,,,,,Yes,,4,Invert,4
IN,LEJ060-0015,IN-LEJ060-0015,7/20/2010,41.42989047,-84.84616096,,,,,,Yes,,4,Invert,4
IN,LMG-04-0034,IN-LMG-04-0034,8/8/2012,41.606993,-86.948035,,,,,,Yes,,4,Invert,4
IN,LMG070-0035,IN-LMG070-0035,7/19/2005,41.706571,-86.770572,,,,,,Yes,,4,Invert,4
IN,LMJ170-0080,IN-LMJ170-0080,7/21/2010,41.5067897,-85.39482668,,,,,,Yes,,4,Invert,4
IN,WTI020-0061,IN-WTI020-0061,7/14/2008,41.23318494,-85.77940855,,,,,,Yes,,4,Invert,4
IN,WWE-07-0005,IN-WWE-07-0005,7/12/2011,39.50511861,-87.0174734,,,,,,Yes,,4,Invert,4
IN,WWU130-0048,IN-WWU130-0048,7/26/2006,39.62742245,-86.18044674,,,,,,Yes,,4,Invert,4
IN,LMG-04-0022,IN-LMG-04-0022,8/14/2012,41.606911,-86.989634,,,,,,Yes,,4,Invert,4
IN,WPA-02-0002,IN-WPA-02-0002,7/17/2012,38.35435316,-86.9000147,,,,,,Yes,,5,Invert,5
IN,WUW100-0009,IN-WUW100-0009,7/14/2008,41.00076583,-85.39435417,,,,,,Yes,,4,Invert,4
IN,LMG-04-0015,IN-LMG-04-0015,8/8/2012,41.555632,-87.007617,,,,,,Yes,,5,Invert,5
IN,LMG-05-0011,IN-LMG-05-0011,7/22/2013,41.5118914,-87.28598137,,,,,,Yes,,5,Invert,5
IN,LMJ200-0054,IN-LMJ200-0054,7/25/2005,41.416889,-85.871402,,,,,,Yes,,4,Invert,4
IN,WBU130-0005,IN-WBU130-0005,8/4/2009,39.15710682,-87.55112618,,,,,,Yes,,4,Invert,4
IN,WPA080-0048,IN-WPA080-0048,8/2/2006,38.31819619,-87.3604975,,,,,,Yes,,5,Invert,5
IN,LMJ240-0046,IN-LMJ240-0046,8/3/2010,41.62983671,-86.27630195,,,,,,Yes,,5,Invert,5
IN,LMG-04-0016,IN-LMG-04-0016,8/8/2012,41.542129,-87.003628,,,,,,Yes,,5,Invert,5
IN,GMW030-0025,IN-GMW030-0025,7/18/2007,39.77810004,-85.05618021,,,,,,Yes,,5,Invert,5
IN,LES030-0002,IN-LES030-0002,7/21/2010,40.76413783,-84.80974201,,,,,,Yes,,4,Invert,4
IN,LMG-05-0008,IN-LMG-05-0008,7/22/2013,41.55882944,-87.23635064,,,,,,Yes,,5,Invert,5
IN,WPA-03-0006,IN-WPA-03-0006,7/11/2012,38.27541189,-86.90530398,,,,,,Yes,,5,Invert,5
IN,WWL-03-0039,IN-WWL-03-0039,8/9/2011,38.99306091,-86.9378548,,,,,,Yes,,5,Invert,5
