State,Original-ID,Site_ID,Date,Lat,Long,UTMN,UTME,Sampling_method,Invert_IBI,Invert_IBI_narrative,BCG_available,Invert_BCG_proxy,Invert_BCG,Taxa_BCG_final,BCG_final
KY,CFD04005502,KY-CFD04005502,7/16/2003,38.3815,-84.8229,,,,79.03,Excellent,NO,2,,Invert,2
KY,CFD04005504,KY-CFD04005504,6/20/2002,38.4688,-84.8966,,,,76.8,Excellent,NO,2,,Invert,2
KY,CFD12023501,KY-CFD12023501,3/29/2012,37.90582,-84.98721,,,,64.8,Excellent,NO,2,,Invert,2
KY,DBF04042703,KY-DBF04042703,4/10/2002,37.72745,-83.66137,,,,84,Excellent,NO,2,,Invert,2
KY,DOW01007001,KY-DOW01007001,3/14/2012,37.7056,-82.42886,,,,90.6,Excellent,NO,2,,Invert,2
KY,DOW01007005,KY-DOW01007005,4/11/2001,37.69175,-82.40416,,,,91.7,Excellent,NO,2,,Invert,2
KY,DOW01007005,KY-DOW01007005,4/25/2007,37.69175,-82.40416,,,,85.72,Excellent,NO,2,,Invert,2
KY,DOW01007006,KY-DOW01007006,4/11/2001,37.6829,-82.40664,,,,90.6,Excellent,NO,2,,Invert,2
KY,DOW01015007,KY-DOW01015007,4/12/2005,37.97689,-83.05465,,,,84.79518,Excellent,NO,2,,Invert,2
KY,DOW01016002,KY-DOW01016002,8/8/2002,38.0292,-82.62038,,,,75,Excellent,NO,2,,Invert,2
KY,DOW01017004,KY-DOW01017004,4/23/2007,37.68385,-82.67283,,,,82.55,Excellent,NO,2,,Invert,2
KY,DOW01018005,KY-DOW01018005,7/13/2004,38.69729,-84.4512,,,,64.07,Excellent,NO,2,,Invert,2
KY,DOW01032001,KY-DOW01032001,4/12/2001,37.25592,-82.44782,,,,93.4,Excellent,NO,2,,Invert,2
KY,DOW01032001,KY-DOW01032001,4/24/2007,37.25592,-82.44782,,,,87.23,Excellent,NO,2,,Invert,2
KY,DOW01032002,KY-DOW01032002,4/12/2001,37.24081,-82.4871,,,,83.4,Excellent,NO,2,,Invert,2
KY,DOW01032002,KY-DOW01032002,5/15/2002,37.24081,-82.4871,,,,87,Excellent,NO,2,,Invert,2
KY,DOW01032002,KY-DOW01032002,5/16/2002,37.24081,-82.4871,,,,87.22495,Excellent,NO,2,,Invert,2
KY,DOW01032002,KY-DOW01032002,4/24/2007,37.24081,-82.4871,,,,92.48,Excellent,NO,2,,Invert,2
KY,DOW01032002,KY-DOW01032002,4/18/2012,37.24081,-82.4871,,,,85,Excellent,NO,2,,Invert,2
KY,DOW01032012,KY-DOW01032012,4/29/2008,37.24817,-82.48994,,,,82.37915,Excellent,NO,2,,Invert,2
KY,DOW02001008,KY-DOW02001008,6/26/2003,36.79633,-85.59337,,,,82.39,Excellent,NO,2,,Invert,2
KY,DOW02002003,KY-DOW02002003,6/23/2010,36.65011,-85.20139,,,,85.8,Excellent,NO,2,,Invert,2
KY,DOW02002004,KY-DOW02002004,4/19/2005,36.67257,-85.35441,,,,74.6,Excellent,NO,2,,Invert,2
KY,DOW02003001,KY-DOW02003001,7/28/2000,36.63528,-85.13902,,,,78.1,Excellent,NO,2,,Invert,2
KY,DOW02006001,KY-DOW02006001,7/11/2000,36.7128,-84.9617,,,,86.5,Excellent,NO,2,,Invert,2
KY,DOW02006012,KY-DOW02006012,6/13/2005,36.76817,-84.96674,,,,83.71,Excellent,NO,2,,Invert,2
KY,DOW02006024,KY-DOW02006024,6/23/2000,36.9039,-84.2814,,,,87.2,Excellent,NO,2,,Invert,2
KY,DOW02006028,KY-DOW02006028,6/22/2000,36.85938,-84.30081,,,,83,Excellent,NO,2,,Invert,2
KY,DOW02006028,KY-DOW02006028,6/14/2010,36.85938,-84.30081,,,,86.5,Excellent,NO,2,,Invert,2
KY,DOW02006030,KY-DOW02006030,4/20/2000,36.90527,-84.2791,,,,83,Excellent,NO,2,,Invert,2
KY,DOW02006032,KY-DOW02006032,7/17/2000,36.9188,-84.42297,,,,87.4,Excellent,NO,2,,Invert,2
KY,DOW02006032,KY-DOW02006032,6/21/2005,36.9188,-84.42297,,,,81.12,Excellent,NO,2,,Invert,2
