State,Original-ID,Site_ID,Date,Lat,Long,UTMN,UTME,Sampling_method,Invert_IBI,Invert_IBI_narrative,BCG_available,Invert_BCG_proxy,Invert_BCG,Taxa_BCG_final,BCG_final
MN,00LM002,MN-00LM002,9/1/2011,44.51335825,-92.90910875,,,,,,Yes,,4,Invert,4
MN,00LM007,MN-00LM007,8/16/2011,44.52371864,-93.02058755,,,,,,Yes,,3,Invert,3
MN,00MN001,MN-00MN001,9/20/2000,43.57398445,-94.10491191,,,,,,Yes,,4,Invert,4
MN,00MN001,MN-00MN001,8/8/2017,43.57398445,-94.10491191,,,,,,Yes,,4,Invert,4
MN,00MN002,MN-00MN002,9/20/2000,43.6713383,-94.1185552,,,,,,Yes,,4,Invert,4
MN,00MN003,MN-00MN003,9/20/2000,43.76784051,-94.19775612,,,,,,Yes,,4,Invert,4
MN,00MN003,MN-00MN003,8/10/2017,43.76784051,-94.19775612,,,,,,Yes,,3,Invert,3
MN,00MN004,MN-00MN004,9/20/2000,43.89252883,-94.19726453,,,,,,Yes,,5,Invert,5
MN,00MN004,MN-00MN004,8/7/2017,43.89252883,-94.19726453,,,,,,Yes,,3,Invert,3
MN,00MN005,MN-00MN005,9/20/2000,44.06583275,-94.09911178,,,,,,Yes,,5,Invert,5
MN,00MN005,MN-00MN005,8/7/2017,44.06583275,-94.09911178,,,,,,Yes,,3,Invert,3
MN,00MN006,MN-00MN006,8/26/2014,44.65830825,-93.62683559,,,,,,Yes,,5,Invert,5
MN,00MN007,MN-00MN007,8/19/2014,44.62819723,-93.74763577,,,,,,Yes,,5,Invert,5
MN,00MN007,MN-00MN007,8/19/2014,44.62819723,-93.74763577,,,,,,Yes,,4,Invert,4
MN,00MN008,MN-00MN008,9/3/2014,44.81308309,-93.54103178,,,,,,Yes,,5,Invert,5
MN,00MN009,MN-00MN009,9/3/2014,44.81450136,-93.5418924,,,,,,Yes,,5,Invert,5
MN,00MN010,MN-00MN010,9/3/2014,44.79238503,-93.60933442,,,,,,Yes,,6,Invert,6
MN,00MN013,MN-00MN013,8/19/2014,44.62258074,-93.80316608,,,,,,Yes,,5,Invert,5
MN,00SC002,MN-00SC002,8/17/2009,45.37216296,-92.69358929,,,,,,Yes,,5,Invert,5
MN,00SC002,MN-00SC002,8/21/2013,45.37216296,-92.69358929,,,,,,Yes,,3,Invert,3
MN,00SC002,MN-00SC002,8/21/2013,45.37216296,-92.69358929,,,,,,Yes,,3,Invert,3
MN,00SC002,MN-00SC002,8/27/2015,45.37216296,-92.69358929,,,,,,Yes,,3,Invert,3
MN,00SC002,MN-00SC002,8/17/2017,45.37216296,-92.69358929,,,,,,Yes,,3,Invert,3
MN,00UM002,MN-00UM002,9/13/2000,47.19315245,-95.23087299,,,,,,Yes,,4,Invert,4
MN,00UM005,MN-00UM005,9/26/2000,47.62830256,-93.39101712,,,,,,Yes,,4,Invert,4
MN,00UM006,MN-00UM006,9/26/2000,47.56682432,-93.19075272,,,,,,Yes,,3,Invert,3
