State,Original-ID,Site_ID,Date,Lat,Long,UTMN,UTME,Sampling_method,Invert_IBI,Invert_IBI_narrative,BCG_available,Invert_BCG_proxy,Invert_BCG,Taxa_BCG_final,BCG_final
MO,448841354,MO-448841354,3/14/2000,37.36436462,-93.57752991,4135455.425,448841.9135,,20,,NO,2,,Invert,2
MO,484742292,MO-484742292,3/22/2000,38.21138763,-93.17344666,4229286.641,484798.221,,20,,NO,2,,Invert,2
MO,484742292,MO-484742292,3/22/2000,38.21138763,-93.17344666,4229286.641,484798.221,,20,,NO,2,,Invert,2
MO,491142047,MO-491142047,3/21/2000,37.98990631,-93.10021973,4204703.467,491182.7777,,20,,NO,2,,Invert,2
MO,338844501,MO-338844501,3/27/2000,40.1867218,-94.89216614,4450198.051,338899.934,,20,,NO,2,,Invert,2
MO,411844755,MO-411844755,3/28/2000,40.42580032,-94.03869629,4475536.701,411870.0616,,20,,NO,2,,Invert,2
MO,338944501,MO-338944501,9/19/2000,40.18641663,-94.89144135,4450162.859,338960.9186,,20,,NO,2,,Invert,2
MO,393644146,MO-393644146,9/20/2000,39.87530518,-94.24314117,4414657.334,393672.1656,,20,,NO,2,,Invert,2
MO,377541679,MO-377541679,9/26/2000,37.6507225,-94.38749695,4167973.662,377582.804,,20,,NO,2,,Invert,2
MO,394440536,MO-394440536,10/5/2000,36.62208176,-94.18003082,4053606.423,394467.4273,,20,,NO,2,,Invert,2
MO,394740538,MO-394740538,3/8/2000,36.62448883,-94.17709351,4053870.214,394733.358,,20,,NO,2,,Invert,2
MO,757141851,MO-757141851,3/15/2000,37.777668,-90.08034515,4185168.379,757127.5563,,20,,NO,2,,Invert,2
MO,752141960,MO-752141960,3/15/2000,37.87730408,-90.13307953,4196082.462,752142.4876,,20,,NO,2,,Invert,2
MO,752141960,MO-752141960,3/15/2000,37.87730408,-90.13307953,4196082.462,752142.4876,,20,,NO,2,,Invert,2
MO,628344047,MO-628344047,9/13/2000,39.78330994,-91.50106049,4404786.49,628341.9375,,20,,NO,2,,Invert,2
MO,751541605,MO-751541605,9/19/2000,37.55802917,-90.15255737,4160596.526,751507.3402,,20,,NO,2,,Invert,2
MO,702040691,MO-702040691,10/2/2000,36.74644089,-90.73719788,4069138.081,702005.9632,,20,,NO,2,,Invert,2
MO,584841285,MO-584841285,3/7/2000,37.29933929,-92.04216766,4128515.15,584876.0164,,20,,NO,2,,Invert,2
MO,548240785,MO-548240785,3/8/2000,36.85152817,-92.45911407,4078544.919,548204.8804,,20,,NO,2,,Invert,2
MO,547040804,MO-547040804,3/8/2000,36.86917877,-92.47207642,4080496.426,547038.4325,,20,,NO,2,,Invert,2
MO,618341019,MO-618341019,3/9/2000,37.05599594,-91.66866302,4101918.694,618360.3269,,20,,NO,2,,Invert,2
MO,593641910,MO-593641910,3/9/2000,37.86165237,-91.93478394,4191004.23,593685.7226,,20,,NO,2,,Invert,2
MO,602241843,MO-602241843,3/13/2000,37.80035782,-91.83854675,4184304.359,602236.1926,,20,,NO,2,,Invert,2
MO,660241874,MO-660241874,3/14/2000,37.82061005,-91.17887115,4187478.776,660273.5616,,20,,NO,2,,Invert,2
MO,393644146,MO-393644146,3/29/2000,39.87498474,-94.24312592,4414621.75,393672.9763,,20,,NO,2,,Invert,2
MO,418744125,MO-418744125,9/18/2000,39.85902786,-93.95002747,4412517,418783,,20,,NO,2,,Invert,2
MO,488844818,MO-488844818,9/19/2000,40.48705673,-93.13097382,4481827.779,488882.1885,,20,,NO,2,,Invert,2
MO,513544624,MO-513544624,9/19/2000,40.3121109,-92.84008026,4462414.273,513571.2279,,20,,NO,2,,Invert,2
MO,520644558,MO-520644558,9/19/2000,40.25286102,-92.75708008,4455854.174,520641.9407,,20,,NO,2,,Invert,2
MO,690541577,MO-690541577,10/2/2000,37.54738235,-90.84320068,4157789.178,690519.7809,,20,,NO,2,,Invert,2
MO,602341843,MO-602341843,10/4/2000,37.80058289,-91.83696747,4184331.06,602374.924,,20,,NO,2,,Invert,2
MO,768740240,MO-768740240,3/20/2001,36.32427216,-90.00576019,4024085.306,768782.8694,,20,,NO,2,,Invert,2
MO,646142640,MO-646142640,4/2/2001,38.51269531,-91.32368469,4264038.853,646136.4819,,20,,NO,2,,Invert,2
MO,611344040,MO-611344040,4/3/2001,39.77951431,-91.69986725,4404098.834,611322.9826,,20,,NO,2,,Invert,2
MO,603844098,MO-603844098,4/4/2001,39.83228302,-91.78593445,4409852.132,603872.6814,,20,,NO,2,,Invert,2
MO,751441605,MO-751441605,3/20/2001,37.5578537,-90.15290833,4160576.111,751476.9231,,20,,NO,2,,Invert,2
MO,717441479,MO-717441479,3/20/2001,37.45238495,-90.54170227,4147901.933,717433.887,,20,,NO,2,,Invert,2
MO,717441479,MO-717441479,3/20/2001,37.45238495,-90.54170227,4147901.933,717433.887,,20,,NO,2,,Invert,2
MO,694241239,MO-694241239,3/21/2001,37.24147797,-90.81026459,4123912.787,694218.0724,,20,,NO,2,,Invert,2
MO,585042345,MO-585042345,3/27/2001,38.25482559,-92.02728271,4234540.766,585091.5463,,20,,NO,2,,Invert,2
MO,349344475,MO-349344475,9/17/2001,40.16506577,-94.76847839,4447576.981,349382.3692,,20,,NO,2,,Invert,2
MO,358144792,MO-358144792,9/17/2001,40.45206833,-94.67243958,4479276.675,358163.0514,,20,,NO,2,,Invert,2
MO,490244490,MO-490244490,9/19/2001,40.19156265,-93.11456299,4449027.571,490230.5653,,20,,NO,2,,Invert,2
MO,603944099,MO-603944099,9/20/2001,39.83303833,-91.78533936,4409936.658,603922.4673,,20,,NO,2,,Invert,2
MO,603944099,MO-603944099,9/20/2001,39.83303833,-91.78533936,4409936.658,603922.4673,,20,,NO,2,,Invert,2
MO,508242640,MO-508242640,9/25/2001,38.52497864,-92.90555573,4264071.794,508215.3393,,20,,NO,2,,Invert,2
MO,486343069,MO-486343069,9/26/2001,38.91139984,-93.15760803,4306958.558,486317.8486,,20,,NO,2,,Invert,2
MO,660141876,MO-660141876,10/1/2001,37.82230377,-91.180336,4187664.203,660140.9574,,20,,NO,2,,Invert,2
MO,671241836,MO-671241836,9/18/2001,37.78439717,-91.05460802,4183680.985,671295.4466,,20,,NO,2,,Invert,2
MO,654841699,MO-654841699,9/20/2001,37.66337032,-91.24434854,4169921.076,654837.5858,,20,,NO,2,,Invert,2
MO,646042640,MO-646042640,9/26/2001,38.51238251,-91.32454681,4264002.771,646061.9426,,20,,NO,2,,Invert,2
MO,503740667,MO-503740667,3/18/2002,36.74598,-92.95754,4066701.162,503774.8099,,20,,NO,2,,Invert,2
MO,485042292,MO-485042292,9/25/2002,38.21131842,-93.1710201,4229278.567,485010.6439,,20,,NO,2,,Invert,2
MO,491242082,MO-491242082,9/25/2002,38.02183829,-93.09949899,4208246.249,491249.8109,,20,,NO,2,,Invert,2
MO,496642063,MO-496642063,9/26/2002,38.00434052,-93.03808186,4206300.913,496639.8291,,20,,NO,2,,Invert,2
MO,509844398,MO-509844398,3/25/2003,40.10873254,-92.88426865,4439834.752,509845.9778,,20,,NO,2,,Invert,2
MO,521644543,MO-521644543,3/26/2003,40.239482,-92.745823,4454371.9,521603.5812,,20,,NO,2,,Invert,2
MO,521644543,MO-521644543,3/26/2003,40.239482,-92.745823,4454371.9,521603.5812,,20,,NO,2,,Invert,2
MO,703941528,MO-703941528,3/24/2003,37.4998751,-90.69273912,4152833.357,703942.9258,,20,,NO,2,,Invert,2
MO,556242189,MO-556242189,3/26/2003,38.1161576,-92.35798682,4218901.67,556262.7516,,20,,NO,2,,Invert,2
MO,496642062,MO-496642062,3/26/2003,38.0043,-93.03808186,4206296.417,496639.8273,,20,,NO,2,,Invert,2
MO,485042292,MO-485042292,3/31/2003,38.21131842,-93.1710201,4229278.567,485010.6439,,20,,NO,2,,Invert,2
MO,491242082,MO-491242082,3/31/2003,38.02183829,-93.09949899,4208246.249,491249.8109,,20,,NO,2,,Invert,2
MO,590542845,MO-590542845,4/3/2003,38.70524949,-91.95800037,4284588.24,590586.965,,20,,NO,2,,Invert,2
MO,395041795,MO-395041795,9/15/2003,37.75746557,-94.19091931,4179578.191,395075.6152,,20,,NO,2,,Invert,2
MO,671241836,MO-671241836,10/2/2003,37.78441142,-91.0546621,4183682.467,671290.651,,20,,NO,2,,Invert,2
MO,467844425,MO-467844425,9/17/2003,40.1329318,-93.37754352,4442581.688,467817.3224,,20,,NO,2,,Invert,2
MO,472544881,MO-472544881,9/23/2003,40.54402762,-93.32377875,4488193.282,472564.741,,20,,NO,2,,Invert,2
MO,471244621,MO-471244621,9/25/2003,40.30935762,-93.33813705,4462150.256,471249.1076,,20,,NO,2,,Invert,2
MO,519744691,MO-519744691,10/2/2003,40.37228048,-92.76725705,4469106.755,519741.7204,,20,,NO,2,,Invert,2
MO,498540754,MO-498540754,10/16/2003,36.82467358,-93.01598107,4075429.657,498559.043,,20,,NO,2,,Invert,2
MO,498540754,MO-498540754,3/24/2004,36.82467358,-93.01598107,4075429.657,498559.043,,20,,NO,2,,Invert,2
MO,498540757,MO-498540757,3/24/2000,36.82737914,-93.01620641,4075729.78,498538.9982,,20,,NO,2,,Invert,2
MO,521644543,MO-521644543,4/2/2004,40.239583,-92.745472,4454383.197,521633.406,,20,,NO,2,,Invert,2
MO,519744691,MO-519744691,4/7/2004,40.37228048,-92.76725705,4469106.755,519741.7204,,20,,NO,2,,Invert,2
MO,460941771,MO-460941771,3/18/2004,37.740778,-93.443417,4177151,460915,,20,,NO,2,,Invert,2
MO,400241825,MO-400241825,3/16/2004,37.784668,-94.132468,4182532.328,400261.2405,,20,,NO,2,,Invert,2
MO,380644554,MO-380644554,9/14/2004,40.240666,-94.403111,4455413.231,380630.3306,,20,,NO,2,,Invert,2
MO,381044654,MO-381044654,9/14/2004,40.33174567,-94.41092176,4465534,380147,,20,,NO,2,,Invert,2
MO,377544748,MO-377544748,9/15/2004,40.415722,-94.443333,4474899.472,377525.7174,,20,,NO,2,,Invert,2
MO,382444825,MO-382444825,9/15/2004,40.484916,-94.387222,4482504.025,382407.1809,,20,,NO,2,,Invert,2
MO,423444207,MO-423444207,9/15/2004,39.933222,-93.895638,4420730.622,423454.7099,,20,,NO,2,,Invert,2
MO,420044254,MO-420044254,9/15/2004,39.975055,-93.936,4425409.008,420054.5428,,20,,NO,2,,Invert,2
MO,424944150,MO-424944150,9/16/2004,39.882472,-93.877805,4415082.78,424923.2049,,20,,NO,2,,Invert,2
MO,593144741,MO-593144741,9/21/2004,40.412412,-91.901369,4474115.986,593198.5293,,20,,NO,2,,Invert,2
