State,Original-ID,Site_ID,Date,Lat,Long,UTMN,UTME,Sampling_method,Invert_IBI,Invert_IBI_narrative,BCG_available,Invert_BCG_proxy,Invert_BCG,Taxa_BCG_final,BCG_final
NC,AB005,NC-AB005,8/31/2015,35.49528,-82.27361,,,,,Excellent,NO,2,,Invert,2
NC,AB011,NC-AB011,8/12/2015,35.34917,-81.48028,,,,,Excellent,NO,2,,Invert,2
NC,AB017,NC-AB017,7/30/2015,35.45652,-82.10734,,,,,Excellent,NO,2,,Invert,2
NC,AB021,NC-AB021,8/11/2015,35.49306,-81.68222,,,,,Excellent,NO,2,,Invert,2
NC,AB029,NC-AB029,7/29/2015,35.31851,-82.34761,,,,,Excellent,NO,2,,Invert,2
NC,AB037,NC-AB037,8/12/2015,35.53639,-81.77222,,,,,Excellent,NO,2,,Invert,2
NC,AB038,NC-AB038,7/15/2005,35.21528,-82.34694,,,,,Excellent,NO,2,,Invert,2
NC,AB039,NC-AB039,7/29/2015,35.22417,-82.27056,,,,,Excellent,NO,2,,Invert,2
NC,AB046,NC-AB046,6/11/2003,35.51028,-82.1725,,,,,Excellent,NO,2,,Invert,2
NC,AB047,NC-AB047,7/28/2015,35.35417,-82.10333,,,,,Excellent,NO,2,,Invert,2
NC,AB060,NC-AB060,10/27/1993,35.17361,-82.53056,,,,,Excellent,NO,2,,Invert,2
NC,AB062,NC-AB062,10/27/1993,35.19083,-82.49611,,,,,Excellent,NO,2,,Invert,2
NC,AB068,NC-AB068,3/18/1986,35.135,-81.35583,,,,,Excellent,NO,2,,Invert,2
NC,AB071,NC-AB071,10/28/1993,35.19889,-82.485,,,,,Excellent,NO,2,,Invert,2
NC,AB084,NC-AB084,5/20/2015,35.16611,-82.56917,,,,,Excellent,NO,2,,Invert,2
NC,AB089,NC-AB089,6/11/2008,35.5265,-81.69984,,,,,Excellent,NO,2,,Invert,2
NC,AB090,NC-AB090,6/10/2008,35.48667,-82.11,,,,,Excellent,NO,2,,Invert,2
NC,AB092,NC-AB092,5/18/2010,35.48401,-81.94921,,,,,Excellent,NO,2,,Invert,2
NC,AB093,NC-AB093,8/25/2010,35.31907,-82.34795,,,,,Excellent,NO,2,,Invert,2
NC,AB102,NC-AB102,5/28/2013,35.4096,-81.6116,,,,,Excellent,NO,2,,Invert,2
NC,AB105,NC-AB105,5/29/2013,35.3804,-81.5964,,,,,Excellent,NO,2,,Invert,2
NC,AB107,NC-AB107,5/29/2013,35.3789,-81.5782,,,,,Excellent,NO,2,,Invert,2
NC,AB108,NC-AB108,5/29/2013,35.3798,-81.5782,,,,,Excellent,NO,2,,Invert,2
NC,AB109,NC-AB109,4/16/2014,35.34709,-82.21117,,,,,Excellent,NO,2,,Invert,2
NC,AB110,NC-AB110,4/16/2014,35.34369,-82.23077,,,,,Excellent,NO,2,,Invert,2
NC,AB112,NC-AB112,4/15/2014,35.33016,-82.2072,,,,,Excellent,NO,2,,Invert,2
NC,AB113,NC-AB113,7/1/2010,35.31915,-82.34692,,,,,Excellent,NO,2,,Invert,2
NC,BB050,NC-BB050,4/3/1995,36.05917,-79.51194,,,,,Excellent,NO,2,,Invert,2
NC,BB091,NC-BB091,7/13/1998,35.31194,-78.6925,,,,,Excellent,NO,2,,Invert,2
NC,BB106,NC-BB106,11/29/1988,35.52389,-78.955,,,,,Excellent,NO,2,,Invert,2
NC,BB128,NC-BB128,10/9/2002,34.75472,-78.28917,,,,,Excellent,NO,2,,Invert,2
NC,BB142,NC-BB142,2/17/1993,35.875,-79.74611,,,,,Excellent,NO,2,,Invert,2
NC,BB167,NC-BB167,3/23/2009,35.40167,-79.66111,,,,,Excellent,NO,2,,Invert,2
NC,BB216,NC-BB216,7/13/1998,35.32639,-78.72389,,,,,Excellent,NO,2,,Invert,2
NC,BB218,NC-BB218,7/1/2008,35.18278,-79.17833,,,,,Excellent,NO,2,,Invert,2
NC,BB230,NC-BB230,7/14/1998,35.19362,-78.98774,,,,,Excellent,NO,2,,Invert,2
NC,BB232,NC-BB232,7/14/1998,35.26333,-78.77306,,,,,Excellent,NO,2,,Invert,2
NC,BB257,NC-BB257,6/13/1990,34.95806,-78.89417,,,,,Excellent,NO,2,,Invert,2
NC,BB258,NC-BB258,7/15/1998,34.95611,-78.84444,,,,,Excellent,NO,2,,Invert,2
NC,BB264,NC-BB264,7/27/1983,34.96583,-78.91778,,,,,Excellent,NO,2,,Invert,2
NC,BB280,NC-BB280,7/21/1998,34.3694,-78.21095,,,,,Excellent,NO,2,,Invert,2
