State,Original-ID,Site_ID,Date,Lat,Long,UTMN,UTME,Sampling_method,Invert_IBI,Invert_IBI_narrative,BCG_available,Invert_BCG_proxy,Invert_BCG,Taxa_BCG_final,BCG_final
OH,204074,OH-204074,2015,39.6889,-81.0061,,,,45.00762435,Excellent,Yes,,2,Invert,2
OH,300444,OH-300444,2008,40.2698,-82.5739,,,,45.00865354,Excellent,Yes,,2,Invert,2
OH,301213,OH-301213,2010,40.4020222,-83.4160417,,,,45.00958355,Excellent,Yes,,2,Invert,2
OH,R02S10,OH-R02S10,2007,40.9017,-82.3128,,,,45.01229239,Excellent,Yes,,2,Invert,2
OH,R02S10,OH-R02S10,2007,40.9017,-82.3128,,,,45.01229239,Excellent,Yes,,2,Invert,2
OH,301520,OH-301520,2011,39.330906,-82.844399,,,,45.02254632,Excellent,Yes,,2,Invert,2
OH,V09W08,OH-V09W08,2011,39.9047889,-83.392875,,,,45.02548712,Excellent,Yes,,2,Invert,2
OH,302784,OH-302784,2015,39.714066,-80.89831,,,,45.02765117,Excellent,Yes,,2,Invert,2
OH,R16G15,OH-R16G15,2008,39.8914,-81.8853,,,,45.03066301,Excellent,Yes,,2,Invert,2
OH,201304,OH-201304,2013,39.609272,-81.927345,,,,45.03577031,Excellent,Yes,,2,Invert,2
OH,V11K20,OH-V11K20,2005,39.4602,-82.741,,,,45.04554801,Excellent,Yes,,2,Invert,2
OH,H09P01,OH-H09P01,2010,39.5011,-84.4594,,,,45.05146274,Excellent,Yes,,2,Invert,2
OH,R16G20,OH-R16G20,2008,39.8692,-81.8635,,,,45.05333176,Excellent,Yes,,2,Invert,2
OH,301868,OH-301868,2011,39.45627,-82.862397,,,,45.05936811,Excellent,Yes,,2,Invert,2
OH,203606,OH-203606,2009,40.4494,-81.9678,,,,45.06204611,Excellent,Yes,,2,Invert,2
OH,V06G16,OH-V06G16,2007,40.008361,-83.42502,,,,45.06626354,Excellent,Yes,,2,Invert,2
OH,R14P11,OH-R14P11,2008,39.9625,-82.58,,,,45.07298288,Excellent,Yes,,2,Invert,2
OH,301553,OH-301553,2011,38.972102,-83.020404,,,,45.07569051,Excellent,Yes,,2,Invert,2
OH,N02K05,OH-N02K05,2007,41.2692,-81.0119,,,,45.07984087,Excellent,Yes,,2,Invert,2
OH,V11K26,OH-V11K26,2005,39.4622,-82.6523,,,,45.08813557,Excellent,Yes,,2,Invert,2
OH,200296,OH-200296,2006,38.8244,-83.1528,,,,45.10126493,Excellent,Yes,,2,Invert,2
OH,M99Q16,OH-M99Q16,2007,39.3506,-84.0753,,,,45.1039441,Excellent,Yes,,2,Invert,2
OH,V08K20,OH-V08K20,2005,39.8091,-82.7352,,,,45.10909372,Excellent,Yes,,2,Invert,2
OH,V10K22,OH-V10K22,2006,39.3145,-83.1147,,,,45.11975759,Excellent,Yes,,2,Invert,2
OH,H01P15,OH-H01P15,2008,40.3472,-83.8911,,,,45.12342912,Excellent,Yes,,2,Invert,2
OH,R16G23,OH-R16G23,2008,39.9086,-81.8606,,,,45.12987294,Excellent,Yes,,2,Invert,2
OH,300480,OH-300480,2008,39.86375,-82.28291,,,,45.13223641,Excellent,Yes,,2,Invert,2
OH,H09W68,OH-H09W68,2010,39.5875,-84.2883,,,,45.14713891,Excellent,Yes,,2,Invert,2
OH,R18K06,OH-R18K06,2014,40.0108,-81.6122,,,,45.14852042,Excellent,Yes,,2,Invert,2
OH,W04G04,OH-W04G04,2009,39.1769,-82.2019,,,,45.15690056,Excellent,Yes,,2,Invert,2
OH,301131,OH-301131,2010,38.81013,-82.66211,,,,45.15871383,Excellent,Yes,,2,Invert,2
OH,R09S06,OH-R09S06,2012,40.195,-81.2156,,,,45.15921651,Excellent,Yes,,2,Invert,2
OH,203306,OH-203306,2011,39.1131,-83.1814,,,,45.17045665,Excellent,Yes,,2,Invert,2
OH,302769,OH-302769,2014,40.179967,-81.576401,,,,45.17353839,Excellent,Yes,,2,Invert,2
OH,V12W10,OH-V12W10,2005,39.1336,-82.6191,,,,45.18316622,Excellent,Yes,,2,Invert,2
OH,V14P05,OH-V14P05,2006,38.8203,-83.3039,,,,45.1834629,Excellent,Yes,,2,Invert,2
OH,V15S14,OH-V15S14,2005,39.011619,-83.05056,,,,45.18764301,Excellent,Yes,,2,Invert,2
OH,302364,OH-302364,2013,39.590095,-81.648178,,,,45.19915339,Excellent,Yes,,2,Invert,2
OH,302941,OH-302941,2015,38.724984,-83.784522,,,,45.20232824,Excellent,Yes,,2,Invert,2
OH,V09S01,OH-V09S01,2011,39.492862,-83.114308,,,,45.20443695,Excellent,Yes,,2,Invert,2
OH,R16G78,OH-R16G78,2013,39.782386,-81.791992,,,,45.20513078,Excellent,Yes,,2,Invert,2
OH,302165,OH-302165,2013,39.44778,-81.770866,,,,45.20734981,Excellent,Yes,,2,Invert,2
OH,V13W01,OH-V13W01,2005,39.339,-82.9433,,,,45.20839555,Excellent,Yes,,2,Invert,2
OH,303327,OH-303327,2015,39.496505,-81.307797,,,,45.21046135,Excellent,Yes,,2,Invert,2
OH,C01K64,OH-C01K64,2015,39.475,-81.2414,,,,45.21310547,Excellent,Yes,,2,Invert,2
OH,C01K64,OH-C01K64,2015,39.475,-81.2414,,,,45.21310547,Excellent,Yes,,2,Invert,2
OH,R19G07,OH-R19G07,2012,39.53395,-81.516624,,,,45.21861695,Excellent,Yes,,2,Invert,2
OH,300432,OH-300432,2008,39.7194605,-81.9499484,,,,45.22779759,Excellent,Yes,,2,Invert,2
OH,203354,OH-203354,2011,38.9733,-83.1197,,,,45.22949174,Excellent,Yes,,2,Invert,2
OH,R03K11,OH-R03K11,2009,40.816725,-81.919005,,,,45.23388527,Excellent,Yes,,2,Invert,2
