State,Original-ID,Site_ID,Date,Lat,Long,UTMN,UTME,Sampling_method,Invert_IBI,Invert_IBI_narrative,BCG_available,Invert_BCG_proxy,Invert_BCG,Taxa_BCG_final,BCG_final
TN,TNW000002023,TN-TNW000002023,5/22/2015,36.12444,-84.4313,,,,13,,No,3,,Invert,3
TN,TNW000002318,TN-TNW000002318,11/29/2016,34.99173,-84.94601,,,,7,,No,4,,Invert,4
TN,TNW000002312,TN-TNW000002312,12/19/2016,34.99316,-84.48598,,,,13,,No,3,,Invert,3
TN,TNW000002342,TN-TNW000002342,5/11/2016,35.38127,-85.40402,,,,15,,No,2,,Invert,2
TN,TNW000002340,TN-TNW000002340,5/11/2016,35.26088,-85.48222,,,,15,,No,2,,Invert,2
TN,TNW000002338,TN-TNW000002338,5/10/2016,35.08165,-85.63449,,,,15,,No,2,,Invert,2
TN,TNW000002020,TN-TNW000002020,9/28/2015,35.1155,-85.9111,,,,13,,No,3,,Invert,3
TN,TNW000002295,TN-TNW000002295,11/3/2016,35.376268,-88.747104,,,,15,,No,2,,Invert,2
TN,TNW000002297,TN-TNW000002297,11/8/2016,35.0852,-88.1916,,,,15,,No,2,,Invert,2
TN,TNW000006439,TN-TNW000006439,11/16/2016,35.66327,-88.66734,,,,15,,No,2,,Invert,2
TN,TNW000002010,TN-TNW000002010,9/15/2016,36.11916,-84.7425,,,,15,,No,2,,Invert,2
TN,TNW000002011,TN-TNW000002011,9/16/2016,35.12472,-85.44388,,,,13,,No,3,,Invert,3
TN,TNW000002014,TN-TNW000002014,9/9/2016,36.13277,-84.64166,,,,13,,No,3,,Invert,3
TN,TNW000002320,TN-TNW000002320,9/29/2016,35.7927,-84.44112,,,,15,,No,2,,Invert,2
TN,TNW000007298,TN-TNW000007298,9/12/2013,35.73599,-86.34996,,,,9,,No,4,,Invert,4
TN,TNW000002341,TN-TNW000002341,4/11/2016,35.10204,-85.92001,,,,15,,No,2,,Invert,2
TN,TNW000002358,TN-TNW000002358,5/19/2016,36.28843,-87.07346,,,,13,,No,3,,Invert,3
