State,Original-ID,Site_ID,Date,Lat,Long,UTMN,UTME,Sampling_method,Invert_IBI,Invert_IBI_narrative,BCG_available,Invert_BCG_proxy,Invert_BCG,Taxa_BCG_final,BCG_final
WV,16,WV-16,4/24/2003,,,4243139.525,362970.915,,63.45,Impaired-Gray Zone,NO,4,,Invert,4
WV,24,WV-24,6/2/2008,,,4236488.584,366339.5901,,61.08,Impaired-Gray Zone,NO,4,,Invert,4
WV,26,WV-26,4/24/2000,,,4236085.294,363148.3461,,66.11,Impaired-Gray Zone,NO,4,,Invert,4
WV,38,WV-38,4/19/2000,,,4227927.391,361343.085,,64.58,Impaired-Gray Zone,NO,4,,Invert,4
WV,56,WV-56,9/17/2008,,,4165101.984,395770.2429,,64.62,Impaired-Gray Zone,NO,4,,Invert,4
WV,62,WV-62,9/16/2003,,,4142650.104,448179.1505,,67.2,Impaired-Gray Zone,NO,4,,Invert,4
WV,74,WV-74,7/1/1998,,,4138671.465,449839.0251,,61.29,Impaired-Gray Zone,NO,4,,Invert,4
WV,84,WV-84,6/17/1998,,,4135162.71,452656.1994,,61.31,Impaired-Gray Zone,NO,4,,Invert,4
WV,85,WV-85,6/30/1998,,,4135904.24,453971.8986,,66.53,Impaired-Gray Zone,NO,4,,Invert,4
WV,87,WV-87,7/6/1998,,,4131927.181,457287.1433,,67.71,Impaired-Gray Zone,NO,4,,Invert,4
WV,102,WV-102,6/23/1998,,,4133299.913,463021.7263,,63.19,Impaired-Gray Zone,NO,4,,Invert,4
WV,112,WV-112,7/7/1998,,,4190246.084,376783.8592,,60.8,Impaired-Gray Zone,NO,4,,Invert,4
WV,113,WV-113,9/23/2008,,,4190569.46,379296.6088,,62.77,Impaired-Gray Zone,NO,4,,Invert,4
WV,122,WV-122,9/16/2003,,,4184932.432,384108.1733,,64.94,Impaired-Gray Zone,NO,4,,Invert,4
WV,153,WV-153,6/17/1998,,,4178160.924,386505.3202,,67.84,Impaired-Gray Zone,NO,4,,Invert,4
WV,156,WV-156,6/23/1998,,,4173729.03,387201.6377,,62.63,Impaired-Gray Zone,NO,4,,Invert,4
WV,160,WV-160,6/22/1998,,,4169231.109,389768.3984,,66.46,Impaired-Gray Zone,NO,4,,Invert,4
WV,162,WV-162,5/7/2003,,,4169972.623,393567.1045,,62.1,Impaired-Gray Zone,NO,4,,Invert,4
WV,165,WV-165,9/17/2008,,,4164457.512,397443.5839,,60.88,Impaired-Gray Zone,NO,4,,Invert,4
WV,172,WV-172,6/15/1998,,,4164757.314,404489.9517,,65.09,Impaired-Gray Zone,NO,4,,Invert,4
WV,182,WV-182,9/17/2008,,,4156022.528,406035.5698,,65.15,Impaired-Gray Zone,NO,4,,Invert,4
WV,185,WV-185,7/7/1998,,,4148828.635,416181.0579,,64.73,Impaired-Gray Zone,NO,4,,Invert,4
WV,188,WV-188,7/7/1998,,,4148630.33,420562.4358,,61.71,Impaired-Gray Zone,NO,4,,Invert,4
WV,201,WV-201,9/17/2003,,,4146126.275,427614.6698,,66.49,Impaired-Gray Zone,NO,4,,Invert,4
WV,202,WV-202,7/7/1998,,,4145224.684,428842.7717,,66.06,Impaired-Gray Zone,NO,4,,Invert,4
WV,203,WV-203,7/7/1998,,,4139154.669,428988.1778,,65.42,Impaired-Gray Zone,NO,4,,Invert,4
WV,204,WV-204,9/16/2008,,,4132969.018,435552.4242,,66.81,Impaired-Gray Zone,NO,4,,Invert,4
WV,207,WV-207,9/16/2008,,,4119200.598,443910.4711,,63.43,Impaired-Gray Zone,NO,4,,Invert,4
WV,214,WV-214,9/17/2003,,,4134143.645,429028.9904,,66.76,Impaired-Gray Zone,NO,4,,Invert,4
WV,219,WV-219,9/17/2003,,,4131564.695,431881.4628,,65.13,Impaired-Gray Zone,NO,4,,Invert,4
WV,223,WV-223,7/9/1998,,,4133151.066,434690.149,,65.5,Impaired-Gray Zone,NO,4,,Invert,4
WV,228,WV-228,9/15/2003,,,4127232.733,442494.6256,,60.84,Impaired-Gray Zone,NO,4,,Invert,4
WV,231,WV-231,9/16/2003,,,4127397.448,442249.2838,,66.92,Impaired-Gray Zone,NO,4,,Invert,4
WV,241,WV-241,9/17/2003,,,4144987.139,434824.1849,,65.6,Impaired-Gray Zone,NO,4,,Invert,4
