STA_SEQ,Station_Name,YLat,XLong
17248,A2,40.800833,-73.787333
17249,A4,40.872500,-73.734167
17216,38,40.879300,-73.718800
17250,B3,40.918333,-73.642833
17256,15,40.931333,-73.221167
17218,2,40.934667,-73.600667
17220,4,40.937833,-73.519333
17223,7,40.950333,-73.425333
17225,10,40.951667,-73.332500
17251,C1,40.955833,-73.580333
17222,6,40.961167,-73.476667
17217,1,40.963333,-73.623667
17219,3,40.979333,-73.560667
17236,25,40.981000,-72.918167
17252,C2,40.984333,-73.502167
17228,14,40.991500,-73.218833
17253,D3,40.993833,-73.411333
17232,20,40.994000,-73.042333
14645,Long Island Sound,41.000400,-73.566100
14644,Long Island Sound,41.000600,-73.569800
14643,Captain Harbor/LIS,41.001700,-73.591800
17244,33,41.003833,-72.651167
17242,31,41.004167,-72.768333
14647,Greenwich Harbor/LIS,41.009200,-73.623200
17221,5,41.009333,-73.513667
14648,Long Island Sound,41.010700,-73.534800
20143,LIS Trawl 00-22,41.012000,-72.838570
20566,New City Brook,41.012496,-72.227206
14642,Greenwich Cove/LIS,41.012800,-73.576600
14646,Stamford Harbor/LIS,41.014300,-73.536600
17258,F3,41.017833,-73.144500
17255,E1,41.019333,-73.291333
16145,Horseneck Brook,41.022000,-73.632800
14651,Stamford Harbor,41.022600,-73.536600
14834,Long Island Sound,41.024500,-73.388600
17261,H6,41.026000,-72.913500
19026,Horseneck Brook,41.027382,-73.633868
16002,Pemberwick Brook,41.027400,-73.661000
14150,Byram River,41.027600,-73.662100
18939,Horseneck Brook,41.030432,-73.640064
16753,Horseneck Brook,41.031900,-73.641700
16910,No Name (Binney Park),41.032500,-73.571900
14650,Long Island Sound,41.035500,-73.486400
15829,Stamford Hurricane Barrier,41.036900,-73.534700
14649,Cove Harbor,41.040600,-73.495500
17224,8,41.040833,-73.418000
15233,"Greenwich Creek, tributary to",41.041400,-73.614700
18938,Byram River,41.046332,-73.662624
15389,Byram River,41.046400,-73.662500
16707,Greenwich Creek,41.046700,-73.611900
20138,LIS Trawl 03-28,41.048600,-72.644450
19342,Mianus Pond,41.050000,-73.586000
18494,Rippowam River (Mill River),41.053907,-73.545591
17231,19,41.055333,-73.080833
17227,13,41.058333,-73.234333
15110,Rippowam River,41.060400,-73.546400
17768,Byram River,41.060895,-73.677529
16146,East Branch Byram River,41.061200,-73.674800
20140,LIS Trawl 01-28,41.062030,-72.498750
19546,Noroton River,41.063490,-73.508834
