"Site.ID","Water.Body","Date","Rating","Location","Longitude","Latitude","Latest.Rating","Study.Type","Taxa"
"BB088","CROSS CR",2003-08-08," Fair","LANGDON ST","-78.888611","35.079722","Fair","Special Study","Invert"
"BB089","NEW HOPE CR",1993-03-01," Good","SR 1734","-79.001389","35.979722","Good","N/A","Invert"
"BB090","NEW HOPE CR",1987-03-12," Fair","SR 2220","-78.976389","35.942222","Fair","N/A","Invert"
"BB091","CAPE FEAR R",1998-07-13," Excellent","NC 217","-78.6925","35.311944","Excellent","Basin Sample","Invert"
"BB091","CAPE FEAR R",1993-08-18," Excellent","NC 217","-78.6925","35.311944","Excellent","Basin Sample","Invert"
"BB092","PRITCHARDS MILL CR",1993-04-01," Good","DAMASCUS RD","-79.116667","35.870833","Good","N/A","Invert"
"BB093","BRUSH CR",2003-06-19," Not Rated","MARRIOT DR","-79.940556","36.108611","Not Rated","Special Study","Invert"
"BB094","MORGAN CR",1998-07-07," Fair","SR 1726","-79.010278","35.861111","Fair","Basin Sample","Invert"
"BB094","MORGAN CR",1993-07-27," Fair","SR 1726","-79.010278","35.861111","Fair","Basin Sample","Invert"
"BB094","MORGAN CR",1990-07-09," Fair","SR 1726","-79.010278","35.861111","Fair","Basin Sample","Invert"
"BB094","MORGAN CR",1987-07-08," Poor","SR 1726","-79.010278","35.861111","Fair","Basin Sample","Invert"
"BB094","MORGAN CR",1987-07-06," Fair","SR 1726","-79.010278","35.861111","Fair","Basin Sample","Invert"
"BB094","MORGAN CR",1985-04-30," Poor","SR 1726","-79.010278","35.861111","Fair","Basin Sample","Invert"
"BB094","MORGAN CR",1984-08-13," Fair","SR 1726","-79.010278","35.861111","Fair","Basin Sample","Invert"
"BB095","MORGAN CR",1998-03-17," Good-Fair","BOTANICAL TR","-79.030833","35.893889","Good-Fair","N/A","Invert"
"BB095","MORGAN CR",1993-04-01," Good-Fair","BOTANICAL TR","-79.030833","35.893889","Good-Fair","N/A","Invert"
"BB095","MORGAN CR",1993-02-10," Good-Fair","BOTANICAL TR","-79.030833","35.893889","Good-Fair","N/A","Invert"
"BB096","MORGAN CR",1994-09-19," Fair","AB OWASA","-79.024167","35.896667","Fair","N/A","Invert"
"BB096","MORGAN CR",1990-09-04," Fair","AB OWASA","-79.024167","35.896667","Fair","N/A","Invert"
"BB096","MORGAN CR",1988-07-07," Fair","AB OWASA","-79.024167","35.896667","Fair","N/A","Invert"
"BB097","MEETING OF THE WATERS CR",1998-03-11," Poor","LAUREL HILL RD","-79.034167","35.897222","Poor","N/A","Invert"
"BB097","MEETING OF THE WATERS CR",1993-04-01," Poor","LAUREL HILL RD","-79.034167","35.897222","Poor","N/A","Invert"
"BB098","GROVE CR",2001-03-26," Natural","NC 11","-77.958889","34.970556","Natural","Special Study","Invert"
"BB098","GROVE CR",1994-05-03," Fair","NC 11","-77.958889","34.970556","Natural","Special Study","Invert"
"BB099","WHITE OAK CR",1993-02-08," Fair","NC 751","-78.959444","35.754444","Fair","N/A","Invert"
"BB100","L ROCKFISH CR",2003-02-19," Not Rated","NC 11","-77.981944","34.722778","Not Rated","Special Study","Invert"
"BB100","L ROCKFISH CR",1994-05-03," Poor","NC 11","-77.981944","34.722778","Not Rated","Special Study","Invert"
"BB102","NORTHEAST CR",1993-07-28," Fair","SR 1731","-78.94","35.855833","Fair","Basin Sample","Invert"
"BB102","NORTHEAST CR",1986-12-10," Fair","SR 1731","-78.94","35.855833","Fair","Basin Sample","Invert"
"BB103","NORTHEAST CR",1998-02-13," Fair","SR 1102","-78.899722","35.886667","Fair","N/A","Invert"
"BB103","NORTHEAST CR",1993-02-19," Fair","SR 1102","-78.899722","35.886667","Fair","N/A","Invert"
"BB103","NORTHEAST CR",1987-03-12," Poor","SR 1102","-78.899722","35.886667","Fair","N/A","Invert"
"BB104","NORTHEAST CR",1993-02-09," Fair","SR 1100","-78.913194","35.872436","Fair","N/A","Invert"
"BB104","NORTHEAST CR",1987-03-12," Poor","SR 1100","-78.913194","35.872436","Fair","N/A","Invert"
"BB104","NORTHEAST CR",1986-12-10," Poor","SR 1100","-78.913194","35.872436","Fair","N/A","Invert"
"BB104","NORTHEAST CR",1985-04-30," Fair","SR 1100","-78.913194","35.872436","Fair","N/A","Invert"
"BB105","LITTLE BR",2003-03-12," Poor","SR 1153","-78.863889","35.674167","Poor","Special Study","Invert"
"BB106","PARKERS CR",1988-11-29," Excellent","SR 1418","-78.955","35.523889","Excellent","N/A","Invert"
"BB107","MERRICKS CR",2013-02-25," Moderate","NC 210","-77.803333","34.446667","Moderate","Basin Sample","Invert"
"BB107","MERRICKS CR",2009-02-10," Moderate","NC 210","-77.803333","34.446667","Moderate","Basin Sample","Invert"
"BB107","MERRICKS CR",2003-02-11," Natural","NC 210","-77.803333","34.446667","Moderate","Basin Sample","Invert"
"BB107","MERRICKS CR",1999-02-19," Natural","NC 210","-77.803333","34.446667","Moderate","Basin Sample","Invert"
"BB107","MERRICKS CR",1998-03-19," Natural","NC 210","-77.803333","34.446667","Moderate","Basin Sample","Invert"
"BB107","MERRICKS CR",1997-02-24," Moderate","NC 210","-77.803333","34.446667","Moderate","Basin Sample","Invert"
"BB107","MERRICKS CR",1993-11-16," Not Rated","NC 210","-77.803333","34.446667","Moderate","Basin Sample","Invert"
"BB107","MERRICKS CR",1993-11-16," Not Rated","NC 210","-77.803333","34.446667","Moderate","Basin Sample","Invert"
"BB107","MERRICKS CR",1993-05-04," Not Rated","NC 210","-77.803333","34.446667","Moderate","Basin Sample","Invert"
"BB107","MERRICKS CR",1993-02-17," Not Rated","NC 210","-77.803333","34.446667","Moderate","Basin Sample","Invert"
"BB108","UT GULF CR",1993-04-22," Poor","SR 1924","-79.016944","35.583333","Poor","N/A","Invert"
"BB110","DEEP R",1990-07-09," Fair","SR 1921","-79.854444","35.904444","Fair","N/A","Invert"
"BB110","DEEP R",1989-07-26," Fair","SR 1921","-79.854444","35.904444","Fair","N/A","Invert"
"BB110","DEEP R",1988-08-16," Fair","SR 1921","-79.854444","35.904444","Fair","N/A","Invert"
"BB110","DEEP R",1988-07-27," Good-Fair","SR 1921","-79.854444","35.904444","Fair","N/A","Invert"
"BB110","DEEP R",1987-08-25," Fair","SR 1921","-79.854444","35.904444","Fair","N/A","Invert"
