PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,LAT_DD83,LON_DD83,YEAR,DATE_COL,AGGR_ECO9_2015,SAMPLE_TYPE,BENT_SAMPLE_TYPE,BENT_MMI_COND,OE_COND,SAMPLED_BENT,MMI_BENT,OE_SCORE,COMP_PT,DIVS_PT,FEED_PT,HABT_PT,RICH_PT,TOLR_PT,BURRPTAX,CHIRPTAX,CLNGNTAX,CLNGPTAX,DOM5PIND,EPHENTAX,EPHEPTAX,EPT_NTAX,EPT_PIND,EPT_PTAX,HPRIME,INTLNTAX,NOINPIND,NTOLNTAX,NTOLPTAX,SCRPNTAX,SHRDNTAX,STOLPTAX,TOLRPTAX
9/2/2015,10000,FW08KS001,1,39.01490805,-98.01046463,2008,5-Aug-08,SPL,BENT,BERWW,Good,O/E>0.9,YES,39.6,1.17468923,5.05,6.82,2.86,2.84,3.33,2.86,27.27,NA,NA,NA,NA,NA,NA,6,33.67,NA,2.6,3,NA,NA,NA,3,NA,NA,NA
9/2/2015,10001,FW08KS003,1,37.3952849,-98.92627961,2008,11-Aug-08,SPL,BENT,BERWW,Good,O/E<0.5,YES,50.93,0.438390167,6.53,6.59,5.71,4.11,3.33,4.29,23.33,NA,NA,NA,NA,NA,NA,6,43.33,NA,2.55,4,NA,NA,NA,5,NA,NA,NA
9/2/2015,10002,FW08KS005,1,38.19892655,-95.42768365,2008,22-Jul-08,TPL,BENT,BERWW,Poor,O/E<0.8,YES,17.3,0.724566489,0.06,3.98,3.75,0.59,2,0,NA,NA,4,NA,NA,3,NA,NA,1.17,NA,2.11,NA,NA,NA,NA,4,NA,34.78,NA
9/2/2015,10003,FW08KS006,1,37.47701976,-98.36534065,2008,12-Aug-08,SPL,BENT,BERWW,Poor,O/E<0.5,YES,15.68,0.27444883,0.98,0,0,3.57,2,2.86,25,NA,NA,NA,NA,NA,NA,4,7.1,NA,0.7,3,NA,NA,NA,1,NA,NA,NA
9/2/2015,10004,FW08KS012,1,37.78662431,-96.42997007,2008,15-Jul-08,TPL,BENT,BERWW,Good,O/E>0.9,YES,77.17,1.265207863,7.58,7.16,6.25,8.82,9,7.49,NA,NA,18,NA,NA,10,NA,NA,61,NA,2.67,NA,NA,NA,NA,6,NA,11.63,NA
9/2/2015,10006,FW08KS036,1,37.99322599,-99.32134205,2008,25-Aug-08,SPL,BENT,BERWW,Fair,O/E<0.8,YES,25.65,0.718467349,3.26,4.45,0,7.01,0.67,0,14.29,NA,NA,NA,NA,NA,NA,2,22,NA,2.1,1,NA,NA,NA,1,NA,NA,NA
9/2/2015,10007,FW08KS039,1,39.01570904,-95.84061299,2008,8-Jul-08,TPL,BENT,BERWW,Poor,O/E<0.8,YES,25.58,0.685823222,0.75,4.66,5,2.94,2,0,NA,NA,8,NA,NA,3,NA,NA,6.67,NA,2.23,NA,NA,NA,NA,5,NA,42.31,NA
9/2/2015,10060,FW08LA011,1,32.97480157,-92.07643968,2008,16-Jul-08,CPL,BENT,BELGB,Poor,O/E<0.8,YES,18.67,0.604519637,2.63,4.02,2.5,0,0,2.05,NA,NA,NA,13.64,NA,NA,NA,1,NA,NA,2.3,NA,54,NA,NA,NA,3,NA,40.91
9/2/2015,10109,FW08DE002,1,38.54260151,-75.5231013,2008,20-Aug-08,CPL,BENT,BELGB,Poor,O/E>0.9,YES,34.62,0.925941401,1.57,5.74,2.5,3.09,3.75,4.12,NA,NA,NA,26.83,NA,NA,NA,7,NA,NA,2.59,NA,61.67,NA,NA,NA,3,NA,31.71
9/2/2015,10828,FW08KS033,1,37.97450198,-101.7879598,2008,29-Jul-08,SPL,BENT,BERWW,Fair,O/E<0.8,YES,28.83,0.720381095,4.85,6.07,0,2.95,2,1.43,26.92,NA,NA,NA,NA,NA,NA,4,32.33,NA,2.44,2,NA,NA,NA,1,NA,NA,NA
9/2/2015,10829,FW08DE001,2,39.3588435,-75.67549416,2008,3-Sep-08,CPL,BENT,BERWW,Fair,O/E>0.9,YES,42.32,1.125419445,7.19,8.11,3.75,2.21,1.25,2.88,NA,NA,NA,23.26,NA,NA,NA,3,NA,NA,2.99,NA,21,NA,NA,NA,4,NA,37.21
9/2/2015,10842,FW08DE013,1,39.7302915,-75.59800358,2008,13-Aug-08,CPL,BENT,BERWW,Poor,O/E>0.9,YES,28.82,0.96563046,4.1,4.91,1.25,4.46,1.25,1.32,NA,NA,NA,32.35,NA,NA,NA,3,NA,NA,2.45,NA,43.33,NA,NA,NA,2,NA,44.12
9/2/2015,10854,FW08NV003,1,40.31657757,-116.901529,2008,16-Jun-08,XER,BENT,BERWW,Poor,O/E>0.9,YES,29,0.965331686,9.69,0.1,2.86,2.1,1.18,1.47,NA,NA,NA,26.32,91.82,NA,NA,3,NA,NA,NA,NA,4.33,NA,NA,2,NA,NA,31.58
9/2/2015,10856,FW08NV069,1,41.88666095,-114.6866143,2008,6-Aug-08,XER,BENT,BERWW,Good,O/E>0.9,YES,68.12,1.418890987,9.9,6.49,5.71,3.33,7.65,7.79,NA,NA,NA,32.43,61.4,NA,NA,14,NA,NA,NA,NA,3.67,NA,NA,4,NA,NA,10.81
9/2/2015,10857,FW08NV003,2,40.31657757,-116.901529,2008,5-Aug-08,XER,BENT,BERWW,Poor,O/E<0.5,YES,15.98,0.361999382,0,2.01,5.71,1.28,0.59,0,NA,NA,NA,22.22,82.72,NA,NA,2,NA,NA,NA,NA,43,NA,NA,4,NA,NA,55.56
