PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LAT_DD83,LON_DD83,AG_ECO9_NM,SITETYPE,INDEX_VISIT,FISH_SAMPLING,SAMPLED_FISH,RT_NRSA,MMI_FISH,ALIENNTAX_PT,ALIENNTAX_WS,ALIENNTAX_WS_PT,ALIENPIND_WS,ALIENPIND_WS_PT,BENTINVPTAX_WS,BENTINVPTAX_WS_PT,CARNNTAX_WS,CARNNTAX_WS_PT,CENTPTAX_PT,CYPRNTAX_PT,CYPRPTAX_WS,CYPRPTAX_WS_PT,HERBPTAX_PT,INTLINVPTAX_PT,INTLLOTNTAX_WS,INTLLOTNTAX_WS_PT,INTLLOTPTAX_WS,INTLLOTPTAX_WS_PT,INTLMIGRNTAX_PT,INTLMIGRPIND_PT,INTLMIGRPTAX_PT,INTLPTAX_PT,INVNTAX_PT,INVPIND_WS,INVPIND_WS_PT,INVPTAX_PT,LITHNTAX_PT,LITHNTAX_WS,LITHNTAX_WS_PT,LITHPIND_PT,LITHPIND_WS,LITHPIND_WS_PT,LITHPTAX_PT,LITHPTAX_WS,LITHPTAX_WS_PT,LOTNTAX_WS,LOTNTAX_WS_PT,LOTPIND_WS,LOTPIND_WS_PT,MIGRNTAX_WS,MIGRNTAX_WS_PT,MIGRPTAX_WS,MIGRPTAX_WS_PT,NAT_CARNNTAX_WS,NAT_CARNNTAX_WS_PT,NAT_CATOPIND_PT,NAT_CENTNTAX_WS,NAT_CENTNTAX_WS_PT,NAT_CYPRPIND_PT,NAT_HERBPTAX_PT,NAT_ICTAPIND_WS,NAT_ICTAPIND_WS_PT,NAT_INTLPIND_WS,NAT_INTLPIND_WS_PT,NAT_LITHPIND_WS,NAT_LITHPIND_WS_PT,NAT_MIGRNTAX_PT,NAT_MIGRPTAX_WS,NAT_MIGRPTAX_WS_PT,NAT_NTOLBENTPTAX_PT,NAT_NTOLNTAX_PT,NAT_NTOLNTAX_WS,NAT_NTOLNTAX_WS_PT,NAT_PIND_PT,NAT_PTAX_PT,NAT_RHEOPIND_PT,NAT_TOTLNTAX_WS,NAT_TOTLNTAX_WS_PT,NTOLNTAX_WS,NTOLNTAX_WS_PT,NTOLPTAX_PT,NTOLPTAX_WS,NTOLPTAX_WS_PT,RBCATONTAX_PT,RHEONTAX_PT,RHEOPIND_PT,SALMNTAX_PT,TOLRNTAX_PT,TOLRNTAX_WS,TOLRNTAX_WS_PT,TOLRPTAX_PT
4/23/2019,1002013,KSRS-1288,1,4/30/2013,KS,39.12843,-95.65402,Temperate Plains,PROB,Y,,YES-SUFFICIENT,S,59.21,,0.954,4.66,,,,,-0.74,5.04,,,,,,,,,,,10,,,0,,,,,,,,8.62,,,,,,,,,,,,,,,,,,,,,0.557,8.7,,,,,,,,,,-1.793,5.35,,,,,,,,,,,,5,,,,,,
4/23/2019,1002014,AZR9-0903,1,5/6/2013,AZ,32.40882,-111.1606,Xeric,PROB,Y,,YES-50-90% OF REACH,T,33.19,,,,,,-33.808,2.07,,,10,,,,,,,,,,,,,,,,,,,-5.154,1.33,,,,,,,,,,,,,-12.973,5.03,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,0,,,0.771,8.12,
4/23/2019,1002015,AZSS-1115,1,5/7/2013,AZ,34.33749,-111.0138,Western Mountains,PROB,Y,,YES-SUFFICIENT,R,56.52,,,,,,,,,,,,,,,,,,-36.459,3.56,,,,,,,,,,,,,,,10,,,,,,,,,,,,,10,,,,10,,,,,,,,-73.566,0.06,,,,,0,,,-2.004,1.6,,,,,,,,,,10,,,
4/23/2019,1002016,KSR9-0910,1,5/6/2013,KS,39.49523,-97.2319,Southern Plains,PROB,Y,,YES-SUFFICIENT,S,29.73,,,,,,,,,,,,22.281,5.08,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.742,5.1,,1.43,,,9.67,,,,,,,,,,,,0,,2.5,,,
4/23/2019,1002017,AZLS-1055,1,5/8/2013,AZ,34.86995,-112.0693,Western Mountains,PROB,Y,,YES-SUFFICIENT,R,51.83,,,,,,,,,,,,,,,,,,5.554,7.77,,,,,,,,,,,,,,,3.33,,,,,,,,,,,,,0,,,,10,,,,,,,,56.311,10,,,,,0.36,,,-3.158,0,,,,,,,,,,10,,,
4/23/2019,1002018,KSRS-1270,1,5/13/2013,KS,37.17128,-96.84909,Temperate Plains,PROB,Y,,YES-SUFFICIENT,R,74.52,,0.78,5.4,,,,,1.139,8.17,,,,,,,,,,,10,,,4.17,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,,-1.301,9.67,,,,,,,,,,5.379,10,,,,,,,,,,,,10,,,,,,
4/23/2019,1002019,KSS9-0933,1,5/14/2013,KS,37.84409,-96.85665,Temperate Plains,PROB,Y,,YES-SUFFICIENT,S,70.19,,0.767,5.45,,,,,2.058,9.7,,,,,,,,,,,10,,,1.82,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,0.758,8.59,,,,,,,,,,1.247,7.49,,,,,,,,,,,,10,,,,,,
4/23/2019,1002020,AZR9-0903,2,5/20/2013,AZ,32.40882,-111.1606,Xeric,PROB,N,,YES-SUFFICIENT,T,33.19,,,,,,-33.808,2.07,,,10,,,,,,,,,,,,,,,,,,,-5.154,1.33,,,,,,,,,,,,,-12.973,5.03,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,0,,,0.771,8.12,
4/23/2019,1002021,KYRM-1006,1,5/21/2013,KY,38.51354,-85.02908,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,T,24.96,,,,,,,,,,,,,,,,,,,,,,,,,-49.211,1.12,,,,,,,,,,,,,,,,,,,,,,1.746,3.64,,,,,,,-36.881,2.31,0,,,2.31,,,,,8.15,,,,,,0.77,,,,,,,,,,1.67
4/23/2019,1002022,KSR9-0902,1,5/21/2013,KS,37.8236,-97.46279,Southern Plains,PROB,Y,,YES-SUFFICIENT,T,33.85,,,,,,,,,,,,34.758,3.51,0,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.056,6.84,,2.86,,,6.92,,,,,,,,,,,,0.28,,5,,,
