UID,SITE_ID,DATE_COL,VISIT_NO,SITESAMP,UNIQUE_ID,DSGN_CYCLE,AG_ECO3,AG_ECO9,EPA_REG,EVAL_CAT,FED_NONFED,FS_EW,HUC2_NM,LAT_DD83,LON_DD83,MAJ_BAS_NM,MIS_BAS_NM,MISS_BASIN,OWN_NARS,PSTL_CODE,STRAH_CAT,URBN_NRS18,USFS,WGT_TP,XCOORD,YCOORD,ACID_COND,ANC_COND,BEDSED_COND,BENT_MMI_COND,CYLSPER_DETECT,CYLSPER_EPA_COND,ENT_1X_STV_COND,FISH_MMI_COND,HG_COND,INSTRMCVR_COND,MICX_DETECT,MICX_EPA_COND,NTL_COND,OE_COND,PTL_COND,RIPDIST_COND,RIPVEG_COND,SAL_COND,SALINITY_CLASS,YEAR,PUBLICATION_DATE
2014737,NRS18_OK_10062,6/20/2018,1,Y,NRS_OK-10090,2018-19,PLNLOW,SPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,35.54538886,-99.72270533,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,SmallStreams,Non-Urban,Not_Forest_Service,476.5241663,-334492.2,-212396.1,Good,None,Good,Fair,Not Detected,At or Below Benchmark,At or Below Benchmark,Fair,At or Below Benchmark,Good,Not Detected,At or Below Benchmark,Poor,O/E<0.8,Poor,Low,Good,Good,Freshwater,2018,1/31/2022
2012488,NRS18_OK_10431,6/25/2018,1,Y,NRS_OK-10206,2018-19,PLNLOW,TPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,36.90216839,-95.16425506,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,SmallStreams,Non-Urban,Not_Forest_Service,664.8585818,73775.19714,-66667.38347,Good,None,Good,Fair,Not Detected,At or Below Benchmark,Above Benchmark,Good,Not Assessed,Fair,Not Detected,At or Below Benchmark,Good,O/E>=0.9,Good,High,Good,Good,Freshwater,2018,1/31/2022
2012489,NRS18_OK_10025,7/2/2018,1,Y,NRS_OK-10180,2018-19,PLNLOW,CPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,33.92944924,-96.0702418,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,LargeStreams,Non-Urban,Not_Forest_Service,96.97299706,-6446.568611,-399691.674,Good,None,Fair,Fair,Not Detected,At or Below Benchmark,At or Below Benchmark,Not Assessed,At or Below Benchmark,Good,Not Detected,At or Below Benchmark,Good,O/E>=0.9,Good,Low,Fair,Good,Freshwater,2018,1/31/2022
2012490,NRS18_WI_10091,7/2/2018,1,Y,NRS_WI-10211,2018-19,PLNLOW,TPL,Region_05,Target_Sampled,Federal,Not_USFS,Upper Mississippi Region,42.5368677,-89.39556013,Upper Mississippi Region,Upper Mississippi Region,Mississippi_Basin,Non Federal,WI,SmallStreams,Non-Urban,Not_Forest_Service,1676.855586,538716.363,582888.3968,Not Assessed,Not Assessed,Good,Poor,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,Not Assessed,Good,Not Detected,At or Below Benchmark,Poor,O/E<0.8,Poor,High,Fair,Not Assessed,Not Assessed,2018,1/31/2022
2012491,NRS18_WI_10006,7/12/2018,1,Y,NRS_WI-10087,2018-19,PLNLOW,UMW,Region_05,Target_Sampled,Federal,Not_USFS,Great Lakes Region,45.49625722,-87.98249295,Great Lakes Region,Not Mississippi River Basin,Not_Mississippi_Basin,Non Federal,WI,LargeStreams,Non-Urban,Not_Forest_Service,351.1639138,625924.8,920542.7,Good,None,Good,Good,Not Detected,At or Below Benchmark,At or Below Benchmark,Not Assessed,Not Assessed,Good,Not Detected,At or Below Benchmark,Good,O/E>=0.9,Good,Moderate,Good,Good,Freshwater,2018,1/31/2022
2012493,NRS18_OK_11085,7/16/2018,1,Y,NRS_OK-10220,2018-19,PLNLOW,SPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,36.71441566,-97.79295371,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,LargeStreams,Non-Urban,Not_Forest_Service,280.099814,-158662.0831,-86530.61793,Good,None,Fair,Fair,Not Detected,At or Below Benchmark,At or Below Benchmark,Fair,Not Assessed,Fair,Not Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,Moderate,Good,Fair,Slightly Saline,2018,1/31/2022
2012494,NRS18_WI_10053,7/16/2018,1,Y,NRS_WI-10201,2018-19,PLNLOW,UMW,Region_05,Target_Sampled,Federal,Not_USFS,Upper Mississippi Region,44.55819594,-90.32250897,Upper Mississippi Region,Upper Mississippi Region,Mississippi_Basin,Non Federal,WI,LargeStreams,Non-Urban,Not_Forest_Service,351.1639138,449734.6505,803184.559,Good,None,Good,Poor,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,Not Assessed,Fair,Not Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,Low,Poor,Good,Freshwater,2018,1/31/2022
2012495,NRS18_OK_10053,7/17/2018,1,Y,NRS_OK-10196,2018-19,PLNLOW,SPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,35.88536261,-97.61348318,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,RiversMajor,Non-Urban,Not_Forest_Service,198.3515449,-144358.4661,-179660.0877,Good,None,Good,Poor,Not Detected,At or Below Benchmark,At or Below Benchmark,Not Assessed,Not Assessed,Fair,Not Detected,At or Below Benchmark,Fair,O/E<0.8,Fair,Moderate,Fair,Poor,Moderately Saline,2018,1/31/2022
2012497,NRS18_WI_10036,7/17/2018,1,Y,NRS_WI-10184,2018-19,PLNLOW,UMW,Region_05,Target_Sampled,Federal,Not_USFS,Upper Mississippi Region,44.68915569,-91.36509269,Upper Mississippi Region,Upper Mississippi Region,Mississippi_Basin,Non Federal,WI,SmallStreams,Non-Urban,Not_Forest_Service,1605.779918,366509.6132,813271.2663,Good,None,Good,Fair,Not Detected,At or Below Benchmark,Above Benchmark,Good,Not Assessed,Fair,Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,Moderate,Poor,Good,Freshwater,2018,1/31/2022
2012498,NRS18_WI_10038,7/18/2018,1,Y,NRS_WI-10186,2018-19,PLNLOW,TPL,Region_05,Target_Sampled,Federal,Not_USFS,Upper Mississippi Region,44.7900719,-92.52999391,Upper Mississippi Region,Upper Mississippi Region,Mississippi_Basin,Non Federal,WI,LargeStreams,Non-Urban,Not_Forest_Service,316.4814994,274031.5898,820571.8579,Good,None,Good,Fair,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,At or Below Benchmark,Good,Detected,At or Below Benchmark,Poor,O/E>=0.9,Good,Low,Poor,Good,Freshwater,2018,1/31/2022
2012499,NRS18_WI_10019,7/19/2018,1,Y,NRS_WI-10158,2018-19,PLNLOW,UMW,Region_05,Target_Sampled,Federal,Not_USFS,Upper Mississippi Region,44.81843538,-91.87926357,Upper Mississippi Region,Upper Mississippi Region,Mississippi_Basin,Non Federal,WI,SmallStreams,Non-Urban,Not_Forest_Service,1605.779918,325254.2,825778.8,Good,None,Good,Poor,Not Detected,At or Below Benchmark,Above Benchmark,Not Assessed,Not Assessed,Good,Not Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,Moderate,Good,Good,Freshwater,2018,1/31/2022
